物件名,住所,間取り,家賃,階数,最寄りまでの時間
東急東横線 都立大学駅 4階建 築3年,東京都目黒区碑文谷３,2DK,17.2万円,"築3年
4階建",東急東横線/都立大学駅 歩8分
都営三田線 白山駅 4階建 築11年,東京都文京区本駒込１,2K,14.2万円,"築11年
4階建",都営三田線/白山駅 歩8分
ヘッドハウス梅ヶ丘,東京都世田谷区梅丘１,2LDK,18.77万円,"新築
3階建",小田急線/梅ヶ丘駅 歩3分
パティーナ中野,東京都中野区新井４,2K,10.9万円,"新築
4階建",西武新宿線/新井薬師前駅 歩6分
目黒コーポ,東京都目黒区原町２,2K,9.8万円,"築10年
3階建",東急目黒線/西小山駅 歩8分
東京メトロ東西線 葛西駅 15階建 築14年,東京都江戸川区中葛西５,2LDK,19.8万円,"築14年
15階建",東京メトロ東西線/葛西駅 歩4分
東京メトロ有楽町線 江戸川橋駅 13階建 築2年,東京都文京区関口１,2K,11.25万円,"築2年
13階建",東京メトロ有楽町線/江戸川橋駅 歩3分
クレイシアIDZ江戸川橋,東京都文京区関口１,2K,11.25万円,"築1年
13階建",東京メトロ有楽町線/江戸川橋駅 歩3分
アヴァンス千住緑町,東京都足立区千住緑町１,2LDK,14.2万円,"新築
3階建",京成本線/千住大橋駅 歩9分
ＪＲ総武線 亀戸駅 3階建 築15年,東京都江東区亀戸５,2K,8.6万円,"築15年
3階建",ＪＲ総武線/亀戸駅 歩5分
西武池袋線 保谷駅 2階建 築5年,東京都練馬区南大泉４,2LDK,14万円,"築5年
2階建",西武池袋線/保谷駅 歩9分
ライジングパブリシティ,東京都世田谷区大原１,2LDK,14.5万円,"新築
2階建",京王線/笹塚駅 歩5分
ＢＬＵ,東京都中野区中央５,2LDK,18.8万円,"新築
2階建",東京メトロ丸ノ内線/新中野駅 歩3分
都営新宿線 瑞江駅 2階建 築10年,東京都江戸川区瑞江４,3DK,13万円,"築10年
2階建",都営新宿線/瑞江駅 歩7分
都営大江戸線 新江古田駅 3階建 新築,東京都練馬区旭丘１,2LDK,16万円,"新築
3階建",都営大江戸線/新江古田駅 歩8分
西武池袋線 石神井公園駅 2階建 築4年,東京都練馬区高野台５,2LDK,14.5万円,"築4年
2階建",西武池袋線/石神井公園駅 歩9分
アルファコート西糀谷,東京都大田区西糀谷３,2LDK,15.5万円,"新築
6階建",京急空港線/大鳥居駅 歩8分
パティーナ馬込弐番館,東京都大田区南馬込２,2DK,13.1万円,"築12年
8階建",都営浅草線/馬込駅 歩10分
都営浅草線 馬込駅 8階建 築12年,東京都大田区南馬込２,2DK,13.1万円,"築12年
8階建",都営浅草線/馬込駅 歩10分
都営浅草線 馬込駅 8階建 築12年,東京都大田区南馬込２,2DK,13.1万円,"築12年
8階建",都営浅草線/馬込駅 歩10分
プラネソシエ西新井,東京都足立区西新井栄町２,2LDK,16.5万円,"築3年
12階建",東武伊勢崎線/西新井駅 歩2分
東急池上線 荏原中延駅 4階建 新築,東京都品川区西中延２,2LDK,18.4万円,"新築
4階建",東急池上線/荏原中延駅 歩6分
寿ハウス,東京都杉並区高井戸西３,2LDK,18.6万円,"新築
2階建",京王井の頭線/富士見ヶ丘駅 歩9分
フロッサイト本蓮沼,東京都板橋区蓮沼町,2LDK,16.5万円,"築4年
4階建",都営三田線/本蓮沼駅 歩5分
フェルクルール東京スカイテラスII,東京都墨田区京島１,2K,8.7万円,"築2年
9階建",京成押上線/京成曳舟駅 歩3分
京成押上線 京成曳舟駅 9階建 築2年,東京都墨田区京島１,2K,8.7万円,"築2年
9階建",京成押上線/京成曳舟駅 歩3分
京王井の頭線 高井戸駅 2階建 新築,東京都杉並区高井戸西３,2LDK,18.6万円,"新築
2階建",京王井の頭線/高井戸駅 歩9分
ミネルヴァ千住新橋,東京都足立区梅田１,2LDK,17.5万円,"新築
10階建",東武伊勢崎線/五反野駅 歩10分
東急多摩川線 武蔵新田駅 3階建 新築,東京都大田区矢口１,2LDK,19.4万円,"新築
3階建",東急多摩川線/武蔵新田駅 歩2分
東武伊勢崎線 西新井駅 7階建 築3年,東京都足立区関原３,2LDK,17.8万円,"築3年
7階建",東武伊勢崎線/西新井駅 歩10分
西武池袋線 大泉学園駅 2階建 新築,東京都練馬区南大泉４,2LDK,13.6万円,"新築
2階建",西武池袋線/大泉学園駅 歩10分
都営大江戸線 新御徒町駅 3階建 築4年,東京都台東区小島２,2K,13.2万円,"築4年
3階建",都営大江戸線/新御徒町駅 歩3分
東急多摩川線 武蔵新田駅 3階建 新築,東京都大田区矢口１,2LDK,19.4万円,"新築
3階建",東急多摩川線/武蔵新田駅 歩2分
西武池袋線 石神井公園駅 2階建 築6年,東京都練馬区石神井町２,2LDK,15万円,"築6年
2階建",西武池袋線/石神井公園駅 歩3分
ウェリナ,東京都練馬区石神井町２,2LDK,15万円,"築6年
2階建",西武池袋線/石神井公園駅 歩3分
東京メトロ半蔵門線 水天宮前駅 13階建 築3年,東京都江東区佐賀１,2K,11.2万円,"築3年
13階建",東京メトロ半蔵門線/水天宮前駅 歩9分
ARKMARK水天宮前I,東京都江東区佐賀１,2K,11.2万円,"築3年
13階建",東京メトロ半蔵門線/水天宮前駅 歩9分
都営三田線 西台駅 3階建 新築,東京都板橋区高島平１,2LDK,14.3万円,"新築
3階建",都営三田線/西台駅 歩10分
アルファコート青砥４,東京都葛飾区青戸５,2K,9.5万円,"新築
5階建",京成押上線/青砥駅 歩5分
ＪＲ京浜東北線 東十条駅 13階建 築6年,東京都北区東十条４,2LDK,20万円,"築6年
13階建",ＪＲ京浜東北線/東十条駅 歩5分
東京メトロ東西線 早稲田駅 2階建 築11年,東京都新宿区喜久井町,2DK,14万円,"築11年
2階建",東京メトロ東西線/早稲田駅 歩2分
東急東横線 学芸大学駅 5階建 新築,東京都目黒区鷹番３,2LDK,18.6万円,"新築
5階建",東急東横線/学芸大学駅 歩2分
東京メトロ丸ノ内線 新高円寺駅 3階建 築7年,東京都杉並区高円寺南２,2LDK,17.8万円,"築7年
3階建",東京メトロ丸ノ内線/新高円寺駅 歩2分
SYFORME ITABASHI,東京都北区滝野川７,2K,10.25万円,"築3年
7階建",都営三田線/西巣鴨駅 歩6分
都営大江戸線 練馬駅 地下1地上4階建 築5年,東京都練馬区豊玉中３,2K,8.9万円,"築5年
地下1地上4階建",都営大江戸線/練馬駅 歩8分
東武東上線 中板橋駅 3階建 築5年,東京都板橋区中板橋,3DK,18万円,"築5年
3階建",東武東上線/中板橋駅 歩3分
都営浅草線 本所吾妻橋駅 9階建 築1年,東京都墨田区本所４,2K,10.1万円,"築1年
9階建",都営浅草線/本所吾妻橋駅 歩7分
ＪＲ中央線 東中野駅 3階建 築15年,東京都中野区東中野４,2K,15万円,"築15年
3階建",ＪＲ中央線/東中野駅 歩6分
La Douceur志茂,東京都北区志茂５,2LDK,18.4万円,"築3年
8階建",東京メトロ南北線/志茂駅 歩10分
東武東上線 上板橋駅 3階建 築2年,東京都板橋区上板橋１,2LDK,15.5万円,"築2年
3階建",東武東上線/上板橋駅 歩2分
クレイシアIDZ本所吾妻橋,東京都墨田区本所４,2K,10.1万円,"築1年
9階建",都営浅草線/本所吾妻橋駅 歩7分
東京メトロ丸ノ内線 西新宿駅 2階建 築4年,東京都新宿区西新宿８,2DK,17万円,"築4年
2階建",東京メトロ丸ノ内線/西新宿駅 歩3分
アルカンシエル池上,東京都大田区池上６,2DK,15.8万円,"築3年
9階建",東急池上線/池上駅 歩2分
ハーモニーレジデンス文京千石,東京都文京区千石３,2K,10.6万円,"築3年
4階建",都営三田線/千石駅 歩9分
都営三田線 千石駅 4階建 築3年,東京都文京区千石３,2K,10.6万円,"築3年
4階建",都営三田線/千石駅 歩9分
東急大井町線 等々力駅 3階建 築1年,東京都世田谷区中町２,2LDK,15.8万円,"築1年
3階建",東急大井町線/等々力駅 歩8分
ロワン・セレスト,東京都板橋区本町,2LDK,17.7万円,"新築
10階建",都営三田線/板橋本町駅 歩5分
都営三田線 板橋本町駅 10階建 築1年,東京都板橋区本町,2LDK,17.7万円,"築1年
10階建",都営三田線/板橋本町駅 歩3分
リフェリーレ品川,東京都品川区北品川３,2K,13.3万円,"築11年
9階建",ＪＲ山手線/品川駅 歩12分
SYFORME西小山,東京都目黒区原町２,2K,11.3万円,"築2年
6階建",東急目黒線/西小山駅 歩10分
東武東上線 下板橋駅 13階建 築5年,東京都板橋区熊野町,2LDK,17.4万円,"築5年
13階建",東武東上線/下板橋駅 歩10分
東武東上線 下板橋駅 13階建 築5年,東京都板橋区熊野町,2LDK,17.4万円,"築5年
13階建",東武東上線/下板橋駅 歩10分
都営大江戸線 両国駅 12階建 築2年,東京都墨田区緑３,2K,15.2万円,"築2年
12階建",都営大江戸線/両国駅 歩9分
東急世田谷線 松陰神社前駅 2階建 築11年,東京都世田谷区上馬５,2DK,16万円,"築11年
2階建",東急世田谷線/松陰神社前駅 歩12分
ライトテラス赤羽,東京都北区志茂１,2LDK,18.8万円,"築4年
11階建",東京メトロ南北線/志茂駅 歩2分
東京メトロ南北線 志茂駅 11階建 築4年,東京都北区志茂１,2LDK,18.8万円,"築4年
11階建",東京メトロ南北線/志茂駅 歩2分
クレイシア板橋志村,東京都板橋区坂下１,2K,8.6万円,"築5年
5階建",都営三田線/志村三丁目駅 歩8分
京王井の頭線 東松原駅 2階建 築3年,東京都世田谷区代田４,2LDK,15.5万円,"築3年
2階建",京王井の頭線/東松原駅 歩5分
関町北戸建,東京都練馬区関町北４,2LDK,20万円,"築8年
2階建",西武新宿線/武蔵関駅 歩4分
シーフォルム王子2,東京都北区豊島１,2K,10.3万円,"新築
14階建",東京メトロ南北線/王子駅 歩6分
PREMIUM CUBE G 後楽園,東京都文京区小石川４,2K,12.9万円,"築1年
15階建",東京メトロ丸ノ内線/後楽園駅 歩11分
フェルクルールプレスト浅草,東京都台東区浅草６,2K,9.35万円,"築6年
9階建",東京メトロ銀座線/浅草駅 歩10分
ドゥーエ成増,東京都板橋区成増３,2LDK,18.2万円,"築2年
4階建",東武東上線/成増駅 歩10分
西武新宿線 鷺ノ宮駅 3階建 築5年,東京都中野区鷺宮４,2K,11.6万円,"築5年
3階建",西武新宿線/鷺ノ宮駅 歩7分
東京メトロ丸ノ内線 新大塚駅 12階建 築4年,東京都豊島区東池袋５,2K,12.5万円,"築4年
12階建",東京メトロ丸ノ内線/新大塚駅 歩3分
京王井の頭線 高井戸駅 5階建 新築,東京都杉並区高井戸東３,2LDK,16.2万円,"新築
5階建",京王井の頭線/高井戸駅 歩4分
西武池袋線 中村橋駅 7階建 築5年,東京都練馬区貫井２,2K,8万円,"築5年
7階建",西武池袋線/中村橋駅 歩8分
都営三田線 本蓮沼駅 14階建 新築,東京都板橋区蓮沼町,2K,9.7万円,"新築
14階建",都営三田線/本蓮沼駅 歩2分
パークアクシス本所吾妻橋サウスレジデンス,東京都墨田区本所３,2K,11.4万円,"築2年
7階建",都営浅草線/本所吾妻橋駅 歩6分
都営浅草線 本所吾妻橋駅 7階建 築2年,東京都墨田区本所３,2K,11.4万円,"築2年
7階建",都営浅草線/本所吾妻橋駅 歩6分
東京メトロ丸ノ内線 新高円寺駅 2階建 築8年,東京都杉並区梅里２,2LDK,18.4万円,"築8年
2階建",東京メトロ丸ノ内線/新高円寺駅 歩8分
東京メトロ日比谷線 八丁堀駅 10階建 築4年,東京都中央区湊１,2K,15.2万円,"築4年
10階建",東京メトロ日比谷線/八丁堀駅 歩4分
ラフィスタ方南町,東京都中野区南台５,2K,10万円,"築3年
5階建",東京メトロ丸ノ内線/方南町駅 歩8分
スプランディッド大山,東京都板橋区大山金井町,2LDK,18.8万円,"新築
15階建",東武東上線/大山駅 歩10分
東武東上線 大山駅 15階建 新築,東京都板橋区大山金井町,2LDK,18.9万円,"新築
15階建",東武東上線/大山駅 歩10分
ウェルスクエア高井戸東,東京都杉並区高井戸東３,2LDK,16.2万円,"新築
5階建",京王井の頭線/高井戸駅 歩4分
東京メトロ千代田線 綾瀬駅 3階建 築10年,東京都葛飾区小菅３,2K,7.4万円,"築10年
3階建",東京メトロ千代田線/綾瀬駅 歩10分
京王線 上北沢駅 2階建 新築,東京都杉並区下高井戸５,2LDK,18.7万円,"新築
2階建",京王線/上北沢駅 歩8分
REGALO奥沢自由が丘,東京都世田谷区奥沢８,2LDK,17万円,"築4年
地下1地上3階建",東急大井町線/九品仏駅 歩5分
イストワール阿佐ヶ谷,東京都杉並区阿佐谷北１,2LDK,18.6万円,"新築
9階建",ＪＲ総武線/阿佐ケ谷駅 歩5分
ＪＲ総武線 阿佐ケ谷駅 9階建 新築,東京都杉並区阿佐谷北１,2LDK,18.6万円,"新築
9階建",ＪＲ総武線/阿佐ケ谷駅 歩5分
西武新宿線 下落合駅 2階建 新築,東京都新宿区中落合１,2LDK,19.5万円,"新築
2階建",西武新宿線/下落合駅 歩6分
ＪＲ埼京線 十条駅 4階建 築2年,東京都北区十条仲原２,2K,14.1万円,"築2年
4階建",ＪＲ埼京線/十条駅 歩8分
東京メトロ千代田線 北綾瀬駅 6階建 築4年,東京都足立区加平１,2K,6.5万円,"築4年
6階建",東京メトロ千代田線/北綾瀬駅 歩7分
京急本線 北品川駅 4階建 新築,東京都品川区北品川３,2K,15.9万円,"新築
4階建",京急本線/北品川駅 歩4分
(仮)杉並区上荻4丁目PJ　A,東京都杉並区上荻４,2LDK,15.6万円,"新築
3階建",ＪＲ総武線/西荻窪駅 歩10分
WIN豊玉,東京都練馬区豊玉中３,2K,11万円,"築7年
4階建",西武池袋線/練馬駅 歩9分
グランパーク東京ＥＡＳＴ,東京都江戸川区平井５,3DK,16.5万円,"築7年
12階建",ＪＲ総武線/平井駅 歩3分
ＮＯＵＶＥＬＬＥ馬込,東京都大田区北馬込２,2LDK,17.5万円,"新築
3階建",都営浅草線/馬込駅 歩3分
シュタインズゲート成城,東京都世田谷区成城２,2LDK,18.2万円,"築4年
3階建",小田急線/成城学園前駅 歩4分
小田急線 成城学園前駅 3階建 築4年,東京都世田谷区成城２,2LDK,18.2万円,"築4年
3階建",小田急線/成城学園前駅 歩4分
東京メトロ東西線 早稲田駅 5階建 築11年,東京都新宿区早稲田鶴巻町,2LDK,20万円,"築11年
5階建",東京メトロ東西線/早稲田駅 歩4分
等々力8丁目アパート,東京都世田谷区等々力８,2LDK,15万円,"築11年
2階建",東急大井町線/等々力駅 歩7分
ユリカロゼ東武練馬,東京都練馬区北町１,2K,9.5万円,"新築
5階建",東武東上線/東武練馬駅 歩7分
都営新宿線 東大島駅 14階建 築4年,東京都江東区東砂３,2K,8.5万円,"築4年
14階建",都営新宿線/東大島駅 歩13分
ハッピーマンション,東京都目黒区東山２,2K,14.3万円,"築6年
5階建",東急田園都市線/池尻大橋駅 歩8分
東京メトロ東西線 神楽坂駅 地下1地上7階建 築15年,東京都新宿区北山伏町,2K,8.8万円,"築15年
地下1地上7階建",東京メトロ東西線/神楽坂駅 歩7分
京急空港線 大鳥居駅 6階建 新築,東京都大田区西糀谷３,2LDK,15.5万円,"新築
6階建",京急空港線/大鳥居駅 歩8分
都営浅草線 馬込駅 地下1地上5階建 築5年,東京都大田区中馬込１,2LDK,16.8万円,"築5年
地下1地上5階建",都営浅草線/馬込駅 歩6分
太陽コート,東京都中野区沼袋１,2K,9.5万円,"築5年
3階建",西武新宿線/沼袋駅 歩1分
ＪＲ中央線 高円寺駅 地下2地上8階建 築2年,東京都中野区大和町１,2K,15.2万円,"築2年
地下2地上8階建",ＪＲ中央線/高円寺駅 歩8分
西武新宿線 沼袋駅 3階建 築5年,東京都中野区沼袋１,2K,9.5万円,"築5年
3階建",西武新宿線/沼袋駅 歩1分
ＪＲ京浜東北線 蒲田駅 4階建 新築,東京都大田区新蒲田１,2LDK,19.4万円,"新築
4階建",ＪＲ京浜東北線/蒲田駅 歩10分
東急多摩川線 武蔵新田駅 10階建 新築,東京都大田区千鳥２,2LDK,18.3万円,"新築
10階建",東急多摩川線/武蔵新田駅 歩5分
ＲＪＲプレシア千鳥,東京都大田区千鳥２,2LDK,18.3万円,"新築
10階建",東急多摩川線/武蔵新田駅 歩5分
ＪＲ中央線 中野駅 3階建 築6年,東京都中野区中野１,2K,13.6万円,"築6年
3階建",ＪＲ中央線/中野駅 歩12分
セジョリ墨田イーストIII,東京都墨田区東向島３,2K,14.5万円,"新築
9階建",東武伊勢崎線/東向島駅 歩9分
西武池袋線 練馬駅 7階建 築5年,東京都練馬区豊玉北３,2K,9.45万円,"築5年
7階建",西武池袋線/練馬駅 歩11分
Ｎビル上落合,東京都新宿区上落合１,2LDK,19.2万円,"築6年
5階建",西武新宿線/下落合駅 歩2分
JPnoie下高井戸,東京都世田谷区松原３,2LDK,19.8万円,"築9年
13階建",京王線/下高井戸駅 歩3分
ＧＥＮＯＶＩＡ新大塚,東京都文京区大塚４,2K,18.5万円,"築3年
4階建",東京メトロ丸ノ内線/新大塚駅 歩9分
小田急線 経堂駅 3階建 築11年,東京都世田谷区経堂５,2LDK,17.5万円,"築11年
3階建",小田急線/経堂駅 歩7分
東武東上線 大山駅 5階建 築4年,東京都板橋区幸町,2K,11.8万円,"築4年
5階建",東武東上線/大山駅 歩7分
ディップス大山幸町,東京都板橋区幸町,2K,11.8万円,"築4年
5階建",東武東上線/大山駅 歩7分
ドゥーエ西馬込,東京都大田区中馬込３,2LDK,17.8万円,"築5年
6階建",都営浅草線/西馬込駅 歩8分
都営浅草線 西馬込駅 6階建 築5年,東京都大田区中馬込３,2LDK,17.8万円,"築5年
6階建",都営浅草線/西馬込駅 歩8分
Attirant下落合,東京都新宿区中落合１,2K,11.8万円,"新築
4階建",西武新宿線/下落合駅 歩6分
東京メトロ千代田線 北綾瀬駅 3階建 新築,東京都足立区大谷田４,2K,11万円,"新築
3階建",東京メトロ千代田線/北綾瀬駅 歩10分
京王井の頭線 永福町駅 2階建 築11年,東京都杉並区永福２,2K,11.6万円,"築11年
2階建",京王井の頭線/永福町駅 歩3分
フローレンス北町,東京都練馬区北町１,2K,11.6万円,"築5年
3階建",東武東上線/東武練馬駅 歩8分
東武東上線 東武練馬駅 3階建 築5年,東京都練馬区北町１,2K,11.6万円,"築5年
3階建",東武東上線/東武練馬駅 歩8分
KDXレジデンス上野毛,東京都世田谷区野毛３,2LDK,19.4万円,"築8年
5階建",東急大井町線/上野毛駅 歩7分
グランクレオ,東京都練馬区東大泉１,2K,9.5万円,"新築
3階建",西武池袋線/大泉学園駅 歩3分
東京メトロ千代田線 代々木上原駅 地下1地上5階建 築5年,東京都渋谷区上原２,2K,15万円,"築5年
地下1地上5階建",東京メトロ千代田線/代々木上原駅 歩9分
都電荒川線 小台駅 3階建 築7年,東京都荒川区西尾久６,2DK,13.8万円,"築7年
3階建",都電荒川線/小台駅 歩4分
京王井の頭線 池ノ上駅 地下1地上3階建 築7年,東京都世田谷区代沢２,2LDK,16.5万円,"築7年
地下1地上3階建",京王井の頭線/池ノ上駅 歩4分
ジェノヴィア王子神谷スカイガーデン,東京都足立区新田１,2K,12.9万円,"築5年
12階建",東京メトロ南北線/王子神谷駅 歩10分
ビバリーホームズ北新宿,東京都新宿区北新宿３,2K,10.5万円,"築14年
4階建",ＪＲ中央線/大久保駅 歩7分
東武東上線 上板橋駅 6階建 築15年,東京都板橋区上板橋１,2K,10.5万円,"築15年
6階建",東武東上線/上板橋駅 歩4分
ＪＲ京浜東北線 蒲田駅 4階建 築2年,東京都大田区蒲田１,2K,10.6万円,"築2年
4階建",ＪＲ京浜東北線/蒲田駅 歩7分
ルネサンスコート蒲田,東京都大田区蒲田１,2K,10.6万円,"築2年
4階建",ＪＲ京浜東北線/蒲田駅 歩7分
シャンス桜新町,東京都世田谷区新町１,2LDK,18.5万円,"築3年
8階建",東急田園都市線/桜新町駅 歩8分
京急本線 青物横丁駅 3階建 築10年,東京都品川区南品川３,2K,9.5万円,"築10年
3階建",京急本線/青物横丁駅 歩2分
東急田園都市線 桜新町駅 4階建 築3年,東京都世田谷区弦巻４,2LDK,17万円,"築3年
4階建",東急田園都市線/桜新町駅 歩9分
ステージグランデ世田谷上野毛アジールコート,東京都世田谷区上野毛１,2LDK,17.9万円,"築12年
5階建",東急大井町線/上野毛駅 歩4分
アーブルハイツ,東京都杉並区阿佐谷北５,2K,10.3万円,"築15年
2階建",ＪＲ中央線/阿佐ケ谷駅 歩6分
KEYAKI PLACE,東京都新宿区早稲田鶴巻町,2LDK,20万円,"築11年
5階建",東京メトロ東西線/早稲田駅 歩4分
東京メトロ東西線 早稲田駅 5階建 築12年,東京都新宿区早稲田鶴巻町,2LDK,20万円,"築12年
5階建",東京メトロ東西線/早稲田駅 歩4分
TELLUS八幡山,東京都世田谷区八幡山３,2LDK,20万円,"築7年
3階建",京王線/八幡山駅 歩3分
ウェルスクエア用賀,東京都世田谷区用賀２,2LDK,18.4万円,"新築
5階建",東急田園都市線/用賀駅 歩3分
都営大江戸線 落合南長崎駅 5階建 築4年,東京都新宿区中落合３,2K,10万円,"築4年
5階建",都営大江戸線/落合南長崎駅 歩9分
東急田園都市線 用賀駅 5階建 築1年,東京都世田谷区用賀２,2LDK,18.4万円,"築1年
5階建",東急田園都市線/用賀駅 歩7分
東武東上線 ときわ台駅 5階建 築2年,東京都板橋区前野町２,2K,12.4万円,"築2年
5階建",東武東上線/ときわ台駅 歩10分
都営浅草線 馬込駅 5階建 築12年,東京都大田区北馬込１,2K,12.5万円,"築12年
5階建",都営浅草線/馬込駅 歩8分
ケルン北馬込,東京都大田区北馬込１,2K,12.5万円,"築12年
5階建",都営浅草線/馬込駅 歩8分
カーサ　ファミリア,東京都葛飾区鎌倉４,2DK,9.4万円,"築10年
2階建",北総線/新柴又駅 歩7分
東京メトロ日比谷線 三ノ輪駅 12階建 築6年,東京都台東区竜泉１,2LDK,14.8万円,"築6年
12階建",東京メトロ日比谷線/三ノ輪駅 歩6分
東京メトロ有楽町線 江戸川橋駅 5階建 築5年,東京都新宿区山吹町,2K,12.9万円,"築5年
5階建",東京メトロ有楽町線/江戸川橋駅 歩5分
京王線 八幡山駅 3階建 築7年,東京都世田谷区八幡山３,2LDK,20万円,"築7年
3階建",京王線/八幡山駅 歩3分
東京メトロ丸ノ内線 方南町駅 5階建 築3年,東京都杉並区和泉４,2K,10.4万円,"築3年
5階建",東京メトロ丸ノ内線/方南町駅 歩3分
ナズ・ドゥカーレ池上,東京都大田区池上７,2K,13.5万円,"新築
3階建",東急多摩川線/矢口渡駅 歩8分
ロイジェント井荻Ｃ棟,東京都杉並区井草３,2K,13.2万円,"築3年
3階建",西武新宿線/井荻駅 歩5分
西武新宿線 井荻駅 3階建 築3年,東京都杉並区井草３,2K,13.2万円,"築3年
3階建",西武新宿線/井荻駅 歩5分
ハイムさわだ桜上水,東京都世田谷区桜上水４,2K,10万円,"築15年
3階建",京王線/桜上水駅 歩4分
ＮＥＯ奥沢Ｅ,東京都世田谷区奥沢８,2K,12.5万円,"築13年
2階建",東急大井町線/九品仏駅 歩5分
ＪＲ山手線 渋谷駅 4階建 築4年,東京都渋谷区鶯谷町,2K,19.2万円,"築4年
4階建",ＪＲ山手線/渋谷駅 歩10分
ルーブル墨田立花,東京都墨田区立花３,2DK,12.5万円,"築7年
6階建",ＪＲ総武線/平井駅 歩11分
メルモ,東京都大田区西蒲田３,2K,9.9万円,"築15年
3階建",ＪＲ京浜東北線/蒲田駅 歩12分
レジデンス大森,東京都大田区大森北１,2K,13.9万円,"築11年
8階建",ＪＲ京浜東北線/大森駅 歩4分
ルネサンスコート蒲田リバーテラス,東京都大田区東蒲田２,2K,9.8万円,"築2年
5階建",京急本線/京急蒲田駅 歩6分
都営三田線 千石駅 4階建 築3年,東京都文京区千石４,2DK,12.5万円,"築3年
4階建",都営三田線/千石駅 歩6分
東京メトロ日比谷線 三ノ輪駅 10階建 新築,東京都台東区日本堤２,2DK,15.8万円,"新築
10階建",東京メトロ日比谷線/三ノ輪駅 歩5分
グリーンハウス,東京都葛飾区柴又１,2DK,13万円,"築2年
2階建",京成金町線/柴又駅 歩6分
東急多摩川線 矢口渡駅 3階建 築7年,東京都大田区多摩川１,2K,10.1万円,"築7年
3階建",東急多摩川線/矢口渡駅 歩5分
ZOOM新宿西落合,東京都新宿区西落合１,2K,11.7万円,"築5年
7階建",都営大江戸線/落合南長崎駅 歩6分
ガーラ・ヒルズ新宿,東京都新宿区北新宿３,2K,11.35万円,"築11年
5階建",ＪＲ中央線/大久保駅 歩8分
東急多摩川線 武蔵新田駅 5階建 築5年,東京都大田区矢口２,2K,9.25万円,"築5年
5階建",東急多摩川線/武蔵新田駅 歩9分
ＰＲＥＭＩＵＭ　ＣＵＢＥ　武蔵新田,東京都大田区矢口２,2K,9.25万円,"築5年
5階建",東急多摩川線/武蔵新田駅 歩9分
セジョリ高井戸,東京都杉並区上高井戸２,2K,15.1万円,"築1年
5階建",京王線/八幡山駅 歩10分
GRAN PASEO 東新宿II　グランパセオ東新宿II,東京都新宿区大久保２,2K,19万円,"新築
地下1地上4階建",東京メトロ副都心線/東新宿駅 歩5分
アイル　プレミアム向島,東京都墨田区東向島６,2DK,15.9万円,"築2年
5階建",東武伊勢崎線/東向島駅 歩4分
東京メトロ日比谷線 三ノ輪駅 14階建 築2年,東京都台東区竜泉２,2DK,15.9万円,"築2年
14階建",東京メトロ日比谷線/三ノ輪駅 歩5分
東武伊勢崎線 西新井駅 9階建 築11年,東京都足立区西新井栄町３,2DK,12.45万円,"築11年
9階建",東武伊勢崎線/西新井駅 歩7分
ＪＲ常磐線 南千住駅 15階建 新築,東京都荒川区南千住７,2LDK,18.1万円,"新築
15階建",ＪＲ常磐線/南千住駅 歩7分
ビースクエア,東京都足立区梅島３,2DK,11万円,"新築
2階建",東武伊勢崎線/西新井駅 歩8分
MELDIA四ツ木IV,東京都葛飾区東四つ木４,2DK,10.3万円,"築2年
3階建",京成押上線/四ツ木駅 歩6分
西武新宿線 野方駅 8階建 築14年,東京都中野区丸山２,2DK,13万円,"築14年
8階建",西武新宿線/野方駅 歩8分
ルーブル野方伍番館,東京都中野区丸山２,2DK,12.3万円,"築14年
8階建",西武新宿線/野方駅 歩8分
つくばエクスプレス 浅草駅 12階建 新築,東京都台東区浅草３,2DK,19.3万円,"新築
12階建",つくばエクスプレス/浅草駅 歩7分
京成押上線 四ツ木駅 3階建 築2年,東京都葛飾区東四つ木４,2DK,10.3万円,"築2年
3階建",京成押上線/四ツ木駅 歩6分
京急空港線 大鳥居駅 5階建 築4年,東京都大田区東糀谷４,2K,11万円,"築4年
5階建",京急空港線/大鳥居駅 歩10分
ＸＥＢＥＣ北新宿,東京都新宿区北新宿４,2K,11.2万円,"築3年
11階建",東京メトロ東西線/落合駅 歩10分
k-station,東京都足立区江北４,2DK,12.9万円,"新築
3階建",日暮里・舎人ライナー/江北駅 歩5分
ＡＸＡＳレジデンス外苑,東京都新宿区南元町,2K,16.5万円,"築5年
地下2地上5階建",ＪＲ中央線/信濃町駅 歩6分
東武東上線 下赤塚駅 2階建 築11年,東京都板橋区赤塚１,2DK,9.2万円,"築11年
2階建",東武東上線/下赤塚駅 歩6分
新代田Ｍｕｓｉｋｖｅｒｅｉｎ,東京都世田谷区代田６,2K,16万円,"築6年
4階建",京王井の頭線/新代田駅 歩2分
citta　fortunato,東京都荒川区東日暮里１,2LDK,17.9万円,"新築
7階建",東京メトロ日比谷線/三ノ輪駅 歩5分
ラフィスタ三ノ輪,東京都台東区三ノ輪１,2LDK,16.5万円,"築10年
12階建",東京メトロ日比谷線/三ノ輪駅 歩3分
モデリアブリュット湯島,東京都文京区湯島３,2DK,18万円,"新築
地下1地上9階建",東京メトロ千代田線/湯島駅 歩5分
ユーアイホーム東日暮里,東京都荒川区東日暮里６,2LDK,15.6万円,"築6年
3階建",ＪＲ山手線/日暮里駅 歩6分
